index,Drug_Name,Entry_ID
192,NILOTINIB,"O15197,O43570,O60674,O94804,P00519,P00915,P00918,P04049,P06213,P06239,P07451,P07947,P07948,P07949,P08581,P08631,P08684,P09619,P09769,P10721,P11274,P11362,P12931,P15056,P16083,P16234,P21802,P22748,P22830,P29317,P29320,P29322,P29323,P29597,P35218,P35590,P36888,P41240,P42684,P42685,P43166,P43403,P45983,P45984,P49759,P51451,P51813,P53779,P54753,P54756,P54760,P54762,P54764,Q02763,Q04912,Q08345,Q12809,Q13163,Q13936,Q15759,Q16539,Q16620,Q16790,Q16832,Q59H18,Q7L7X3,Q8TBX8,Q92918,Q9H2K8,Q9HAZ1,Q9NYL2,Q9UF33,Q9ULX7,Q9UNQ0,Q9Y5S2"
193,NIMESULIDE,"P05164,P23219,P35354"
194,NIRAXOSTAT,P47989
195,NOCODAZOLE,"P00519,P51843"
196,Nebivolol hydrochloride,"P08908,Q12809"
197,OMEPRAZOLE,"P20648,Q07820"
198,Orlistat,"O95870,P06858,P16233,P21554,P49327,Q13093,Q8N2K0,Q8NCG7,Q9Y4D2,Q9Y5X9"
199,PACLITAXEL,"P05106,Q12866,Q9HC29"
200,PAZOPANIB HYDROCHLORIDE,"O00444,O14965,O14976,O15197,O15439,O60331,O60674,O94804,O95819,P00519,P04049,P07333,P07947,P07948,P07949,P08581,P08631,P09619,P11362,P15056,P16234,P17948,P19525,P21127,P21802,P22303,P22607,P27448,P29376,P29597,P33981,P35590,P35916,P35968,P36888,P37173,P42684,P42685,P43405,P45983,P45985,P51451,P52333,P52564,P53667,P53671,P53779,P57059,Q02763,Q02779,Q08345,Q12866,Q13163,Q13233,Q13470,Q13705,Q13882,Q14012,Q16584,Q16790,Q16832,Q2M2I8,Q504U8,Q56UN5,Q6P3R8,Q7L7X3,Q8IVH8,Q8TBX8,Q92918,Q96NX5,Q9BVS4,Q9H1R3,Q9H2G2,Q9H2K8,Q9H3Y6,Q9NRP7,Q9NSY1,Q9UBE8,Q9UM73,Q9UQ88,Q9UQB9,Q9Y2U5,Q9Y4K4,Q9Y616"
201,PD-0325901,"P15056,P28482,P36507,Q02750,Q13233"
